"date","state","county","locality","habitat","latitude","longitude","masl","subfamily","ant.genus","ant.species","code","collection","collector"
"1998-06-10","connecticut","litchfield","Cannan Mountain ",NA,41.9847,-73.2819,NA,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Nelson"
"1998-06-10","connecticut","litchfield","Cannan Mountain ",NA,41.9847,-73.2819,NA,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Nelson"
"1973-06-12","connecticut","new haven","Branford-Thimble Island","MRI",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1973-06-15","connecticut","new haven","Branford","0.2 Km. N. of Hoadley Neck",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1973-06-15","connecticut","new haven","Branford","0.2 Km. N. of Hoadley Neck",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1973-06-16","connecticut","new haven","Branford","7.2 Km N of Hoadley Neck",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH",NA
"1973-06-18","connecticut","new haven","Branford","0.2 Km. N. of Hoadley Neck",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH",NA
"2008-06-24","connecticut","new haven","hemlock gui4","hwa-damaged hemlock stand",41.2949,-72.731,30,"Myrmicinae","Aphaenogaster","rudis","aphrud","URIC","DJCox"
"2008-06-24","connecticut","new haven","hemlock gui6","hwa-damaged hemlock stand",41.2868,-72.729,30,"Myrmicinae","Aphaenogaster","rudis","aphrud","URIC","DJCox"
"1973-06-25","connecticut","new haven","Branford","0.2 Km. N. of Hoadley Neck",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1972-06-27","connecticut","new haven","Mainland I",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"2008-06-27","connecticut","tolland","hemlock sta2","healthy hemlock stand",41.962,-72.2561,229,"Myrmicinae","Aphaenogaster","rudis","aphrud","URIC","DJCox"
"2008-06-27","connecticut","tolland","hemlock cr.s","healthy hemlock stand",41.9646,-72.25,227,"Myrmicinae","Aphaenogaster","rudis","aphrud","URIC","DJCox"
"2008-06-28","connecticut","middlesex","hemlock cli1","hwa-damaged hemlock stand",41.3065,-72.511,30,"Myrmicinae","Aphaenogaster","rudis","aphrud","URIC","DJCox"
"2008-06-29","connecticut","middlesex","hemlock had5","hwa-damaged hemlock stand",41.4768,-72.5516,177,"Myrmicinae","Aphaenogaster","rudis","aphrud","URIC","DJCox"
"1999-06-30","connecticut","litchfield","TobeyPond","forest",41.98,-73.22,389,"Myrmicinae","Aphenogaster","rudis_complex","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"1999-06-30","connecticut","litchfield","TobeyPond","forest",41.98,-73.22,389,"Myrmicinae","Aphenogaster","rudis_complex","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"1999-06-30","connecticut","litchfield","TobeyPond","forest",41.98,-73.22,389,"Myrmicinae","Aphenogaster","rudis_complex","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"1999-06-30","connecticut","litchfield","TobeyPond","forest",41.98,-73.22,389,"Myrmicinae","Aphenogaster","rudis_complex","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"1972-07-01","connecticut","new haven","Mainland I","M68-70",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1972-07-01","connecticut","new haven","Mainland I","along slate transect 69 m from ""edge"".",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"2008-07-01","connecticut","tolland","hemlock sta20","healthy hemlock stand",41.9278,-72.26,192,"Myrmicinae","Aphaenogaster","rudis","aphrud","URIC","DJCox"
"2008-07-01","connecticut","tolland","hemlock sta2","healthy hemlock stand",41.962,-72.2561,229,"Myrmicinae","Aphaenogaster","rudis","aphrud","URIC","DJCox"
"2008-07-01","connecticut","tolland","hemlock sta19","healthy hemlock stand",41.9529,-72.252,192,"Myrmicinae","Aphaenogaster","rudis","aphrud","URIC","DJCox"
"2008-07-01","connecticut","tolland","hemlock cr.s","healthy hemlock stand",41.9646,-72.25,227,"Myrmicinae","Aphaenogaster","rudis","aphrud","URIC","DJCox"
